,catalog_number,object_id,occurrenceID,inst,collectionCode,family,sci_name,sciname,tidinterpreted,event_date,verbatimEventDate,year,startDayOfYear,country,state,county,municipality,locality,latitude,longitue,geodeticDatum,coordinateUncertaintyInMeters,georeferenceProtocol,georeferenceRemarks,georeferenceSources,url,order,Budding Prediction,Budding Prediction Confidence,Flowering Prediction,Flowering Prediction Confidence,Fruiting Prediction,Fruiting Prediction Confidence,Reproductive Prediction,Reproductive Prediction Confidence,Reproductive Ground Truth,Fruiting Ground Truth,Flowering Ground Truth,Budding Ground Truth
10,barcode-01018187,1420505,8e62688f-7c4e-4a0d-a294-82393660903f,NEBC,,Lamiaceae,Mentha canadensis Linnaeus,Mentha canadensis,854755.0,12/7/1932,"July 12, 1932",1932.0,194.0,United States of America,Vermont,Chittenden County,Bolton,Bolton,44.39975,-72.87658,WGS84,8523.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Boundary_BNDHASH_region_towns vector digital data, 2012-02-16 AND Boundary_BNDHASH_region_villages vector digital data, 2012-12-04; Vermont Center for Geographic Information, Waterbury, Vt (http://http://vcgi.vermont.gov/).",https://bisque.cyverse.org/image_service/00-7Wk82pCtiXKHQTCfpdPUNX,Lamiales,True,0.5440075993537903,True,0.9949617385864258,True,0.7825818657875061,True,0.999782383441925,,,,
11,barcode-01018363,1420685,b60758d0-7e1d-407d-be2c-26c2983e2ca8,NEBC,,Lamiaceae,Mentha Ã- gentilis Linnaeus,Mentha gentilis,854760.0,7/8/1899,Aug 7'' 1899,1899.0,219.0,United States of America,Connecticut,Hartford County,Southington,Southington,41.60489,-72.88003,WGS84,7659.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Connecticut Town Boundary vector digital data (CONNECTICUT_TOWN_BOUNDARY.shp), 2005 edition; State of Connecticut, Department of Environmental Protection, Hartford, CT (http://www.ct.gov/deep).",https://bisque.cyverse.org/image_service/00-yhN2CxH5rLkAXhnxLzR2Zf,Lamiales,True,0.7463243007659912,True,0.9987970590591432,True,0.7094911932945251,True,0.9827760457992554,,,,
12,2059692,1869193,4979c3de-eac7-49bc-8cb6-7a0597495c6e,NY,NY,Lamiaceae,Mentha arvensis var. glabrata (Benth.) Fernald,Mentha arvensis var. glabrata,870331.0,29/9/1927,29 Sep 1927,1927.0,272.0,United States of America,Pennsylvania,Clinton,,"Along roadside, Lock Haven.",41.137,-77.446926,WGS84,3290.0,GEOLocate Web Application,Used GEOLocate Web Application to georeference precise locality. (High precision) Georeferenced to the Lock Haven city center.,GEOLocate (Tulane University Museum of Natural History),http://sweetgum.nybg.org/images3/1482/109/02059692.jpg,Lamiales,False,0.7568886280059814,True,0.9421314001083374,True,0.9845911264419556,True,0.999076247215271,,,,
13,BSN-15405,1500483,,,BSN,Lamiaceae,,Mentha arvensis,827030.0,21/7/1912,,1912.0,203.0,United States of America,Maine,Waldo,Belfast,,,,,,,,,https://bisque.cyverse.org/image_service/00-cUVkAfr7rJbfZcspzE5RiR,Lamiales,True,0.7249442934989929,True,0.8239908218383789,False,0.8401771783828735,True,0.5447502732276917,,,,
14,barcode-01047965,1420414,1c123845-8c21-4cfe-a25b-40d682f2d875,NEBC,,Lamiaceae,Mentha canadensis Linnaeus,Mentha canadensis,854755.0,8/8/1912,"August 8, 1912",1912.0,221.0,United States of America,Maine,Kennebec County,Litchfield,Litchfield,44.16275,-69.93941,WGS84,8433.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-a68NGdKxXXgnxcgTApsSvb,Lamiales,False,0.5996679663658142,False,0.8199054598808289,True,0.6989326477050781,True,0.9666569232940674,,,,
15,377552,2064835,9565e29a-daef-451a-b418-27167b3d8b96,University of Massachusetts,MASS,Brassicaceae,Cardamine diphylla (Michx.) Alph. Wood,Cardamine diphylla,818616.0,25/5/1928,,1928.0,146.0,United States of America,Massachusetts,Franklin,Greenfield,,42.5875874,-72.5995369,,4000.0,,,,https://bisque.cyverse.org/image_service/00-WELqdHEu7YtZ2mserdttc3,__Other,True,0.7487858533859253,True,0.9928818941116332,False,0.9805455207824708,True,0.9999774694442748,,,,
16,CONN00088006,32617,urn:catalog:UConn:CONN:CONN00088006,,CONN,Brassicaceae,Cardamine concatenata (Michx.) O.Schwarz,Cardamine laciniata,844710.0,3/5/1958,3 May 1958,1958.0,123.0,United States of America,Connecticut,Hartford,Windsor,Farmington River,41.90027,-72.67916,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00088006.jpg,__Other,False,0.79429692029953,False,0.6171682476997375,False,0.959865152835846,True,0.9678974151611328,,,,
17,00311258,2061752,f85f6d51-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Brassicaceae,Cardamine diphylla (Michx.) Alph. Wood,Cardamine diphylla,818616.0,4/5/2001,,2001.0,124.0,United States of America,Massachusetts,Hampshire,Amherst,"Mount Holyoke Range. Along Sweet Alice Brook, at contour 240.",42.314992696467,-72.5254031373439,,200.0,,,,https://bisque.cyverse.org/image_service/00-bh9jHAUxgrPgTJFd7Coo7b,__Other,True,0.9982853531837464,True,0.9999254941940308,False,0.9893594980239868,True,0.9999945163726808,,,,
18,377510,2008580,2bb0332c-ad71-4674-aeef-c3d0a805d572,University of Massachusetts,MASS,Brassicaceae,Cakile edentula (Bigelow) Hook.,Cakile edentula,818282.0,9/8/1958,,1958.0,221.0,United States of America,Maine,York,Kennebunkport,na,43.39745,-70.44772,WGS84,6569.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-jcAbpovWPUSAtTtFhjpee7,__Other,True,0.6051207780838013,True,0.992405354976654,True,0.975539207458496,True,0.9994045495986938,,,,
19,CONN00088015,32626,urn:catalog:UConn:CONN:CONN00088015,,CONN,Brassicaceae,Cardamine concatenata (Michx.) O.Schwarz,Cardamine laciniata,844710.0,24/4/1905,24-Apr-05,1905.0,114.0,United States of America,Connecticut,New Haven,Milford,Housatonic River,41.21638,-73.10972,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00088015.jpg,__Other,True,0.5804317593574524,True,0.9961063265800476,False,0.9389532208442688,True,0.9690915942192078,,,,
20,CONN00083823,30947,urn:catalog:UConn:CONN:CONN00083823,,CONN,Aristolochiaceae,Asarum canadense L.,Asarum canadense,817030.0,18/11/1973,18-Nov-73,1973.0,322.0,United States of America,Connecticut,Tolland,Mansfield,Mansfield,41.78833,-72.22944,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00083823.jpg,__Other,False,0.8865073919296265,False,0.960561454296112,False,0.861562967300415,True,0.743014931678772,,,,
21,CONN00083804,30928,urn:catalog:UConn:CONN:CONN00083804,,CONN,Aristolochiaceae,Asarum canadense L.,Asarum canadense,817030.0,7/10/1904,7 Oct 1904,1904.0,281.0,United States of America,Connecticut,Hartford,Newington,Newington,41.68722,-72.73055,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00083804.jpg,__Other,False,0.9711738228797911,False,0.8396822810173035,True,0.6523597240447998,False,0.7476128339767456,,,,
22,CONN00083860,19699,urn:catalog:UConn:CONN:CONN00083860,,CONN,Aristolochiaceae,Asarum canadense L.,Asarum canadense,817030.0,28/4/1934,28-Apr-34,1934.0,118.0,United States of America,Massachusetts,Berkshire,Williamstown,Williamstown,42.71194,-73.20361,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00083860.jpg,__Other,False,0.5575276613235474,False,0.5068015456199646,False,0.8693975210189819,False,0.587050199508667,,,,
23,CONN00083848,30971,urn:catalog:UConn:CONN:CONN00083848,,CONN,Aristolochiaceae,Asarum canadense L. var. canadense,Asarum canadense,817030.0,10/5/1903,10-May-03,1903.0,130.0,United States of America,Connecticut,Fairfield,Sherman,Sherman,41.57944,-73.49611,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00083848.jpg,__Other,False,0.9688887596130372,False,0.935502827167511,False,0.5846302509307861,True,0.9699562191963196,,,,
24,CONN00083869,19702,urn:catalog:UConn:CONN:CONN00083869,,CONN,Aristolochiaceae,Asarum canadense L.,Asarum canadense,817030.0,9/5/1915,9 May 1915,1915.0,129.0,United States of America,Massachusetts,Franklin,Sunderland,Sunderland,42.46666,-72.55,,,,,,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00083869.jpg,__Other,False,0.9630732536315918,True,0.5462334752082825,False,0.7609404921531677,True,0.9978489875793456,,,,
25,KIRI-09011,1373916,,,KIRI,Viburnaceae,,Viburnum prunifolium,834362.0,12/7/1938,,1938.0,193.0,United States of America,Ohio,Athens,,,,,,,,,,https://bisque.cyverse.org/image_service/00-NqgynycFNrUVJQosUu5XPB,__Other,False,0.9241682887077332,False,0.922983169555664,False,0.8782877326011658,False,0.8598999977111816,,,,
26,WCSU-01184,1385035,62704500-a44f-45f7-9386-01b0361ae69d,,WCSU,Viburnaceae,,Viburnum prunifolium,834362.0,0/0/0,Oct 1966,1966.0,,United States of America,Connecticut,Fairfield,Danbury,,41.40136,-73.47053,WGS84,8318.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Connecticut Town Boundary vector digital data (CONNECTICUT_TOWN_BOUNDARY.shp), 2005 edition; State of Connecticut, Department of Environmental Protection, Hartford, CT (http://www.ct.gov/deep).",https://bisque.cyverse.org/image_service/00-SjvRMXBubUv9cBdcVWVtMW,__Other,False,0.986404538154602,False,0.9991372227668762,False,0.9980255365371704,False,0.9276524186134338,,,,
27,PBRU00005834,1326426,599fc4b1-2a01-4b47-bd2b-a65623931457,Brown,,Viburnaceae,Viburnum prunifolium,Viburnum prunifolium,834362.0,30/4/1878,,1878.0,120.0,United States of America,Illinois,,,Urbana,,,,,,,,https://repository.library.brown.edu/iiif/image/bdr:396396/full/full/0/default.jpg,__Other,True,0.8190436959266663,True,0.7138068675994873,True,0.6891775131225586,True,0.9972556233406068,,,,
28,barcode-01069192,1141269,0e5987a2-9d99-11e5-b5e0-001ec9fd629b,NEBC,,Viburnaceae,Viburnum prunifolium Linnaeus,Viburnum prunifolium,834362.0,20/8/1986,20 AUG 1986,1986.0,232.0,United States of America,Connecticut,,,Stamford,,,,,,,,https://bisque.cyverse.org/image_service/00-9AswtvHiToCbSPkFS3mZn4,Dipsacales,False,0.992537558078766,False,0.9980962872505188,False,0.9897191524505616,True,0.7127202749252319,,,,
29,barcode-00750235,777886,9897a2ca-3a2f-4c31-8e14-d6e2aa9a5c2e,GH,,Viburnaceae,Viburnum prunifolium Linnaeus,Viburnum prunifolium,834362.0,5/6/1901,June 5 1901,1901.0,156.0,United States of America,Connecticut,Fairfield County,Fairfield,Fairfield,41.17835,-73.27463,WGS84,6789.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Connecticut Town Boundary vector digital data (CONNECTICUT_TOWN_BOUNDARY.shp), 2005 edition; State of Connecticut, Department of Environmental Protection, Hartford, CT (http://www.ct.gov/deep).",https://bisque.cyverse.org/image_service/00-hj4yKhpbc75C6MVhz6CqKk,Dipsacales,False,0.7936549782752991,True,0.8239195346832275,False,0.5368602871894836,True,0.842379093170166,,,,
30,MAINE00044640,2110267,urn:uuid:df8faf10-73f2-4165-9ab6-4f20cfe6591a,,MAINE,Liliaceae,Erythronium americanum Ker-Gawl. ssp. americanum,Erythronium americanum subsp. americanum,888530.0,3/5/1933,1933-5-3,1933.0,123.0,United States of America,Maine,Penobscot,Hampden,West Hampden,44.7377,-68.88687,WGS84,9476.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",https://bisque.cyverse.org/image_service/00-pAPsU5B5T9EBkM9SG29R7N,Liliales,False,0.9133917093276978,True,0.999153733253479,False,0.999273121356964,True,0.9999974966049194,,,,
31,CONN00123726,355268,urn:catalog:UConn:CONN:CONN00123726,,CONN,Liliaceae,Erythronium americanum Ker Gawl.,Erythronium americanum,822935.0,14/5/1930,14-May-30,1930.0,134.0,United States of America,Connecticut,Hartford,Suffield,Suffield,41.98166,-72.65055,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00123726.jpg,Liliales,False,0.9013649821281432,False,0.9781595468521118,True,0.9892802834510804,True,0.8528450131416321,,,,
32,CONN00123743,842259,urn:catalog:UConn:CONN:CONN00123743,,CONN,Liliaceae,Erythronium americanum Ker Gawl. var. typicum,Erythronium americanum,822935.0,25/5/1937,25-May-37,1937.0,145.0,Canada,Quebec,Montréal,Montréal,Montréal,45.5,-73.58333,,,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00123743.jpg,Liliales,False,0.9273427724838256,False,0.8067383170127869,False,0.9654935598373412,True,0.8945247530937195,,,,
33,CONN00123722,355273,urn:catalog:UConn:CONN:CONN00123722,,CONN,Liliaceae,Erythronium americanum Ker Gawl.,Erythronium americanum,822935.0,25/4/1895,25 Apr 1895,1895.0,115.0,United States of America,Connecticut,Hartford,Farmington,Farmington,41.72777,-72.84083,,20000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00123722.jpg,Liliales,False,0.9622898697853088,True,0.991055965423584,False,0.9868663549423218,True,0.9990424513816832,,,,
34,CONN00123691,355291,urn:catalog:UConn:CONN:CONN00123691,,CONN,Liliaceae,Erythronium americanum Ker Gawl.,Erythronium americanum,822935.0,13/6/1983,13-Jun-83,1983.0,164.0,United States of America,Connecticut,Middlesex,Durham,Pistapaug Mountain,41.43166,-72.73694,,3000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00123691.jpg,Liliales,False,0.9201687574386596,False,0.999518871307373,True,0.967085599899292,True,0.9998881816864014,,,,
35,8157,2146511,,,,Orobanchaceae,Melampyrum lineare Desr.,Melampyrum lineare,826985.0,13/7/1988,13-Jul-88,1988.0,195.0,United States of America,Massachusetts,Barnstable,,Edge of woods near Coonamessett R. cranberry bog just above John Parker Road,,,,,,,,https://herbarium.yale.edu/images/MBL/Vascular/Vascular_export/4521_7917_Enlargement.jpg,__Other,False,0.7641881704330444,True,0.9412381649017334,False,0.906147599220276,False,0.5124431252479553,,,,
36,6360,2144892,,,,Orobanchaceae,Melampyrum lineare Desr.,Melampyrum lineare,826985.0,20/6/1974,20-Jun-74,1974.0,171.0,United States of America,Massachusetts,Nantucket,,"S. Rd. Wyers Pt. var. americanum. rare, only seen this spot. Coatue, Nantucket",,,,,,,,https://herbarium.yale.edu/images/MBL/Vascular/Vascular_export/4519_7915_Enlargement.jpg,__Other,False,0.8641173243522644,True,0.7580127120018005,True,0.6521238088607788,True,0.9675412774086,,,,
37,CONN00130841,843776,urn:catalog:UConn:CONN:CONN00130841,,CONN,Orobanchaceae,Melampyrum lineare Desr.,Melampyrum lineare,826985.0,4/6/1978,4 Jun 1978,1978.0,155.0,United States of America,Connecticut,New London,Mystic,Mystic,41.35416,-71.96638,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00130841.jpg,__Other,True,0.8159236311912537,False,0.913914680480957,True,0.7804591655731201,True,0.8835858702659607,,,,
38,00314329,2010227,f86d558a-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Orobanchaceae,Melampyrum lineare Desr.,Melampyrum lineare,826985.0,26/7/2004,,2004.0,208.0,United States of America,Massachusetts,Hampshire,Amherst,Mount Holyoke Range. Near the intersection of the northside trail and power line between the Notch and Bay Road.,42.3149573161131,-72.5216917145564,,200.0,,,,https://bisque.cyverse.org/image_service/00-HAVYvekkHfV9PuqpJgKK3W,__Other,False,0.6326966285705566,True,0.6466628313064575,True,0.8915954828262329,True,0.9982014894485474,,,,
39,CONN00130818,843754,urn:catalog:UConn:CONN:CONN00130818,,CONN,Orobanchaceae,Melampyrum lineare var. latifolium W.P.C. Barton,Melampyrum lineare,826985.0,19/7/1932,19-Jul-32,1932.0,201.0,United States of America,Connecticut,New Haven,New Haven,New Haven,41.30805,-72.92805,,5000.0,,,no date. USGS Geographic Names Information System (GNIS). U. S. Geological Survey.,http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00130818.jpg,__Other,False,0.9837512373924256,False,0.6617035269737244,True,0.9196698069572448,True,0.9580386877059937,,,,
40,PBRU00064567,2135627,901e8119-3548-48f5-afe9-8571ab7d6f38,Brown,,Vitaceae,Vitis labrusca,Vitis labrusca,834549.0,10/6/2017,,2017.0,161.0,United States of America,Rhode Island,Providence County,Johnston,"Under powerline on east side of Snake Den State Park, west of Poppy Hill Road.",41.85246,-71.52181,,,,,,https://repository.library.brown.edu/iiif/image/bdr:853395/full/full/0/default.jpg,__Other,False,0.8998320698738098,False,0.9816040992736816,True,0.925126016139984,True,0.9989163875579834,,,,
41,CONN00172392,872577,urn:catalog:UConn:CONN:CONN00172392,,CONN,Vitaceae,Vitis labrusca L.,Vitis labrusca,834549.0,5/8/1933,5 Aug 1933,1933.0,217.0,United States of America,Massachusetts,Worcester,Millville,Millville,42.02777,-71.58083,,3000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00172392.jpg,__Other,False,0.9971392154693604,False,0.9967153072357178,False,0.99499773979187,False,0.7962086796760559,,,,
42,UVMVT288759,2440242,urn:uuid:f6b77b4a-be91-4167-953e-63b66c0475f4,,,Vitaceae,,Vitis labrusca,834549.0,,,,,United States of America,Vermont,,Shoreham,,,,,,,,,http://storage.idigbio.org/vt/vplants/UVMVT288/UVMVT288759_lg.jpg,__Other,False,0.9887511134147644,False,0.9984838366508484,True,0.8522480130195618,True,0.9793461561203004,,,,
43,CONN00073302,26591,urn:catalog:UConn:CONN:CONN00073302,,CONN,Vitaceae,Vitis labrusca L.,Vitis labrusca,834549.0,11/6/1998,11-Jun-98,1998.0,162.0,United States of America,Connecticut,Hartford,Windsor,Northwest Park,41.905,-72.70194,,5000.0,,,"no date. Topozone. TopoZone.com © Maps a la carte, Inc. - All rights reserved.",http://bgbaseserver.eeb.uconn.edu/DATABASEIMAGES/CONN00073302.jpg,__Other,False,0.7759393453598022,False,0.9950909614562988,True,0.5773646235466003,True,0.9986735582351683,,,,
44,00316384,2038262,fc83396f-fdd1-11e2-8bb4-4e51ad6f2467,University of Massachusetts,MASS,Vitaceae,Vitis labrusca L.,Vitis labrusca,834549.0,26/8/1987,,1987.0,238.0,United States of America,Massachusetts,Franklin,Sunderland,CVRR Swamp,42.46511,-72.55462,WGS84,5727.0,,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",https://bisque.cyverse.org/image_service/00-wKV8pqqNqWdnH6PcRbGy2n,__Other,False,0.995058298110962,False,0.9958194494247437,True,0.9660905599594116,True,0.9980108141899108,,,,
