,Unnamed: 0,Unnamed: 0.1,Filename,Filepath,Reproductive Status,Flowering Status,Fruiting Status,Budding Status,Scored,Scorable
29,29,29,CBS.016786.jpg,/content/Herbarium_Anthony/outliers/CBS.016786.jpg,True,,,,True,True
30,30,30,NHA-535714.jpg,/content/Herbarium_Anthony/outliers/NHA-535714.jpg,True,,,,True,True
31,31,31,CONN00174904.jpg,/content/Herbarium_Anthony/outliers/CONN00174904.jpg,,,,,True,False
32,32,32,MAINE00043902.jpg,/content/Herbarium_Anthony/outliers/MAINE00043902.jpg,True,,,,True,True
33,33,33,barcode-01078477.jpg,/content/Herbarium_Anthony/outliers/barcode-01078477.jpg,True,True,,True,True,True
34,34,34,PBRU00072790.jpg,/content/Herbarium_Anthony/outliers/PBRU00072790.jpg,True,,,,True,True
35,35,35,NHA-673672.jpg,/content/Herbarium_Anthony/outliers/NHA-673672.jpg,True,True,True,,True,True
36,36,36,329468.jpg,/content/Herbarium_Anthony/outliers/329468.jpg,False,False,False,False,True,True
37,37,37,CONN00079844.jpg,/content/Herbarium_Anthony/outliers/CONN00079844.jpg,True,,,,True,True
38,38,38,NHA-537435.jpg,/content/Herbarium_Anthony/outliers/NHA-537435.jpg,True,,,,True,True
39,39,39,376257.jpg,/content/Herbarium_Anthony/outliers/376257.jpg,True,,,,True,True
40,40,40,CONN00007396.jpg,/content/Herbarium_Anthony/outliers/CONN00007396.jpg,,,,,True,False
41,41,41,NHA-660441.jpg,/content/Herbarium_Anthony/outliers/NHA-660441.jpg,,,,,True,False
42,42,42,MAINE00018668.jpg,/content/Herbarium_Anthony/outliers/MAINE00018668.jpg,True,,,,True,True
43,43,43,KIRI-00090.jpg,/content/Herbarium_Anthony/outliers/KIRI-00090.jpg,,,,,True,False
44,44,44,barcode-00558416.jpg,/content/Herbarium_Anthony/outliers/barcode-00558416.jpg,True,,,,True,True
45,45,45,MAINE00036388.jpg,/content/Herbarium_Anthony/outliers/MAINE00036388.jpg,True,True,,,True,True
46,46,46,2544977.jpg,/content/Herbarium_Anthony/outliers/2544977.jpg,True,,,,True,True
47,47,47,barcode-00564259.jpg,/content/Herbarium_Anthony/outliers/barcode-00564259.jpg,True,True,True,True,True,True
48,48,48,KIRI-01875.jpg,/content/Herbarium_Anthony/outliers/KIRI-01875.jpg,True,True,,True,True,True
49,49,49,369668.jpg,/content/Herbarium_Anthony/outliers/369668.jpg,True,True,False,,True,True
50,50,50,barcode-00582431.jpg,/content/Herbarium_Anthony/outliers/barcode-00582431.jpg,True,,False,True,True,True
51,51,51,CBS.022590.jpg,/content/Herbarium_Anthony/outliers/CBS.022590.jpg,True,,,,True,True
52,52,52,barcode-00626277.jpg,/content/Herbarium_Anthony/outliers/barcode-00626277.jpg,True,,,,True,True
53,53,53,barcode-00645502.jpg,/content/Herbarium_Anthony/outliers/barcode-00645502.jpg,True,True,,,True,True
54,54,54,2431.jpg,/content/Herbarium_Anthony/outliers/2431.jpg,True,True,,,True,True
55,55,55,KESC00693.jpg,/content/Herbarium_Anthony/outliers/KESC00693.jpg,,,,,True,False
56,56,56,barcode-00655963.jpg,/content/Herbarium_Anthony/outliers/barcode-00655963.jpg,True,True,,True,True,True
57,57,57,barcode-00610015.jpg,/content/Herbarium_Anthony/outliers/barcode-00610015.jpg,True,,,,True,True
58,58,58,YU.076175.jpg,/content/Herbarium_Anthony/outliers/YU.076175.jpg,True,False,True,False,True,True
59,59,59,368021.jpg,/content/Herbarium_Anthony/outliers/368021.jpg,False,False,False,False,True,True
60,60,60,barcode-00739417.jpg,/content/Herbarium_Anthony/outliers/barcode-00739417.jpg,,,,,True,False
61,61,61,NHA-697744.jpg,/content/Herbarium_Anthony/outliers/NHA-697744.jpg,,,,,True,False
62,62,62,CONN00001337.jpg,/content/Herbarium_Anthony/outliers/CONN00001337.jpg,True,,,,True,True
63,63,63,CBS.026303.jpg,/content/Herbarium_Anthony/outliers/CBS.026303.jpg,True,False,True,False,True,True
64,64,64,YU.080464.jpg,/content/Herbarium_Anthony/outliers/YU.080464.jpg,True,True,,True,True,True
65,65,65,barcode-00762844.jpg,/content/Herbarium_Anthony/outliers/barcode-00762844.jpg,False,False,False,False,True,True
66,66,66,CONN00121490.jpg,/content/Herbarium_Anthony/outliers/CONN00121490.jpg,True,,,False,True,True
67,67,67,YU.016241.jpg,/content/Herbarium_Anthony/outliers/YU.016241.jpg,,,,,True,False
68,68,68,barcode-00754167.jpg,/content/Herbarium_Anthony/outliers/barcode-00754167.jpg,True,,,,True,True
69,69,69,WSCH005266.jpg,/content/Herbarium_Anthony/outliers/WSCH005266.jpg,True,,,,True,True
70,70,70,barcode-00711720.jpg,/content/Herbarium_Anthony/outliers/barcode-00711720.jpg,True,,,,True,True
71,71,71,WSCH000118.jpg,/content/Herbarium_Anthony/outliers/WSCH000118.jpg,True,,,,True,True
72,72,72,CONN00166172.jpg,/content/Herbarium_Anthony/outliers/CONN00166172.jpg,True,,,,True,True
73,73,73,NHA-722673.jpg,/content/Herbarium_Anthony/outliers/NHA-722673.jpg,True,True,True,,True,True
74,74,74,333177.jpg,/content/Herbarium_Anthony/outliers/333177.jpg,,,,,True,False
75,75,75,barcode-00712280.jpg,/content/Herbarium_Anthony/outliers/barcode-00712280.jpg,True,,,,True,True
76,76,76,MAINE00018476.jpg,/content/Herbarium_Anthony/outliers/MAINE00018476.jpg,True,True,,True,True,True
77,77,77,YU.046658.jpg,/content/Herbarium_Anthony/outliers/YU.046658.jpg,True,,,,True,True
78,78,78,00327826.jpg,/content/Herbarium_Anthony/outliers/00327826.jpg,,,,,True,False
79,79,79,CONN00169338.jpg,/content/Herbarium_Anthony/outliers/CONN00169338.jpg,True,False,True,False,True,True
80,80,80,2464869.jpg,/content/Herbarium_Anthony/outliers/2464869.jpg,True,False,True,False,True,True
81,81,81,NHA-657489.jpg,/content/Herbarium_Anthony/outliers/NHA-657489.jpg,,,,,True,False
82,82,82,CONN00137963.jpg,/content/Herbarium_Anthony/outliers/CONN00137963.jpg,True,False,True,False,True,True
83,83,83,343843.jpg,/content/Herbarium_Anthony/outliers/343843.jpg,True,True,False,False,True,True
84,84,84,CONN00087972.jpg,/content/Herbarium_Anthony/outliers/CONN00087972.jpg,True,True,True,False,True,True
85,85,85,NHA-550725.jpg,/content/Herbarium_Anthony/outliers/NHA-550725.jpg,,,,,True,False
86,86,86,MAINE00010180.jpg,/content/Herbarium_Anthony/outliers/MAINE00010180.jpg,True,,,,True,True
87,87,87,CCNL-09178.jpg,/content/Herbarium_Anthony/outliers/CCNL-09178.jpg,True,,,,True,True
88,88,88,YU.074986.jpg,/content/Herbarium_Anthony/outliers/YU.074986.jpg,True,,True,,True,True
89,89,89,barcode-01069749.jpg,/content/Herbarium_Anthony/outliers/barcode-01069749.jpg,True,True,,,True,True
90,90,90,375080.jpg,/content/Herbarium_Anthony/outliers/375080.jpg,False,False,False,False,True,True
91,91,91,barcode-00678436.jpg,/content/Herbarium_Anthony/outliers/barcode-00678436.jpg,,,,,True,False
92,92,92,barcode-00553911.jpg,/content/Herbarium_Anthony/outliers/barcode-00553911.jpg,True,True,False,False,True,True
93,93,93,344733.jpg,/content/Herbarium_Anthony/outliers/344733.jpg,,,,,True,False
94,94,94,barcode-00880632.jpg,/content/Herbarium_Anthony/outliers/barcode-00880632.jpg,False,False,False,False,True,True
95,95,95,barcode-00710317.jpg,/content/Herbarium_Anthony/outliers/barcode-00710317.jpg,True,,,,True,True
96,96,96,399452.jpg,/content/Herbarium_Anthony/outliers/399452.jpg,,,,,True,False
97,97,97,367207.jpg,/content/Herbarium_Anthony/outliers/367207.jpg,True,False,True,False,True,True
98,98,98,barcode-00614868.jpg,/content/Herbarium_Anthony/outliers/barcode-00614868.jpg,True,,,,True,True
99,99,99,CCNL-04582.jpg,/content/Herbarium_Anthony/outliers/CCNL-04582.jpg,False,False,False,False,True,True
